"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,VIII,b,,Wasdoek en caoutchouc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,1,Fabricage van caoutchoucstempels,A,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,2,Fabricage van caoutchoucswaren,A,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,2,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,3,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,4,id.,D,,,,,,1,,,,,,,,,2,,,,1,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,6,5,4,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor VIII,A,,,,,,,,4,,,18,,,19,170,,,54,93,,,482,198,,2,832,85,3,2,323,38,1,,180,6,2,,133,3,1,,110,3,,,,,,,2133,618,7,4,2140,622,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor VIII,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,4,1,,,4,1,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor VIII,C,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,3,,,1,1,,,,,,2,,,,,,,,,,,,,,5,,3,4,8,4,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor VIII,D,,6,,51,,145,,412,,1,378,,4,12,530,,8,30,126,,2,276,237,1,5,325,80,4,5,147,14,1,,71,4,,1,46,5,,,32,,,,,,,,940,1988,6,25,946,2013,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor groep VIII,,,6,0,51,0,145,0,416,0,1,396,0,4,31,700,0,9,84,219,0,3,760,435,2,8,1161,166,7,8,471,52,2,0,252,10,4,1,179,8,1,0,143,3,0,0,0,0,0,0,3082,2607,16,33,3098,2640,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,IX,,,"Metalen (winnen en eerste bewerking van) steenkolen, turf, zout, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,b,,Steenkolen en turf (mijnwerk en fabricage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,5,Directeuren steenkolenmijnen,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,6,Fabricage van asphalt,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,6,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,7,id.,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,8,1,,,8,1,7,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,8,Fabricage van briguetten,A,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,8,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,9,id.,D,,,,,,1,,4,,,8,,,,4,,,1,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,4,18,,,4,18,9,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,10,Kolenbranders,D,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,10,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,11,Kolenwerkers,D,,,,,,,,,,,,,,,,,,,1,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,6,1,,,6,1,11,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,c,,Veenderij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,12,Verveners,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,12,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,d,,Zoutbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,13,Directeuren der Zoutexploitatie,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,14,Gradeerwerkers,D,,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,14,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,15,Zoutzieders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,15,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,16,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,17,id.,D,,,,,,,,,,,,,,,1,,,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,7,1,17,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor IX,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor IX,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor IX,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor IX,,,,,,,1,,5,,,8,,,,6,,,1,2,,,8,2,,,14,1,,,7,,,,,,,,,,,,,,,,,,,,30,25,,,30,25,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,,Totaal voor groep IX,,,,,,,1,,5,,,8,,,,6,,,1,2,,,12,2,,,16,3,,,8,,,,,,,,,,,,,,,,,,,,37,27,,,37,27,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,X,,,Metalen (Bewerking van),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,a,,Edele metalen en munten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,18,Diamantzetters,D,,,,,,1,,3,,,5,,,,4,,,,1,,,7,4,,,10,2,,,2,1,,,,,,,,,,,,,,,,,,,19,21,,,19,21,18,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,19,Emailleerders,D,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,19,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,20,Fabricage van goud- en zilverwerken,A,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,7,,,,7,,20,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,21,id.,D,,,,,1,,1,,1,,,,,,1,,,,3,,1,,,,1,4,2,,,3,,,,2,,,,1,,,,,,,,,,,,10,6,,5,10,11,21,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,22,Goudsmeden,A,,,,,,,,,,,,,,,1,,,1,,,,29,7,,,38,3,,,36,2,3,,11,,,,10,,,,4,,1,,,,,,129,13,4,,133,13,22,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,23,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,23,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,24,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,24,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,25,id.,D,,,,9,,21,,41,,,35,,,5,84,,3,4,23,,1,75,49,,,83,19,,,46,5,,,17,,,,9,1,,,4,,,,,,,,243,287,,4,243,291,25,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,26,Juweliers,A,,,,,,,,,,,,,,,,,,,,,,5,1,,,7,1,,,3,,,,1,,,,3,,,,2,,,,,,,,21,2,,,21,2,26,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,27,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,27,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,,,28,id.,D,,,,,,2,,5,,,6,,,,3,,,,3,,,1,1,,,3,,,,1,,,,,,,,,,,,,,,,,,,,5,20,,,5,20,28,BT ,1889_02_T1,20,21,HET RIJK,29_0379
,X,B,,Niet-edele metalen (behalve ijzer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,1,Blikslagers,A,,,,,,,,,,,1,,,1,3,,,3,3,,,35,7,,,63,4,,,38,,,,10,,,,9,,,,8,1,,,,,,,167,19,,,167,19,1,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,2,Id.,D,,,,5,,11,,24,,,17,,,,40,,,5,9,,,51,16,,,46,4,,,14,3,,,6,,,,2,,,,2,,,,,,,,126,129,,,126,129,2,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,3,Fabricage van aluminiumwaren,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,4,Fabricage van blik,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,5,Fabricage van bronswaren,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,6,Id.,D,,,,,,,,,,,,,,,1,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,6,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,7,Fabricage van capsulen,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,8,Fabricage van gasornamenten,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,9,Id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,10,Fabricage van koperwerk,A,,,,,,,,,,,,,,,,,,,,,,1,,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,8,1,,,8,1,10,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,11,Id.,D,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,11,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,12,Fabricage van metaalwerken,A,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,7,,12,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,13,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,2,,13,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,14,Id.,D,,,,,,,,1,,,1,,1,,1,,,,,,,1,,,,3,1,,,1,,,,1,,,,1,,,,,,,,,,,,7,4,,1,7,5,14,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,15,Fabricage van springveeren,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,15,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,16,Fabricage van zink- en zinkwaren,A,,,,,,,,,,,,,,,1,,,,,,,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,2,,,3,2,16,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,17,Id.,D,,,,,,,,,,,2,,,,5,,,1,1,,,3,1,,,4,1,,,3,,,,1,,,,,,,,,,,,,,,,12,10,,,12,10,17,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,18,Hagelgieters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,18,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,19,Ketelbikkers,D,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,19,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,20,Ketelmakers,D,,1,,2,,9,,33,,,35,,,6,60,,,20,18,,,127,32,,,144,6,,,123,1,,,8,,,,2,,,,,,,,,,,,430,197,,,430,197,20,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,21,Koperdraaiers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,21,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,22,Id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,22,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,23,Kopergieters en smelters,A,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,3,,,,1,,,,,,,,,,,,,,,,13,1,,,13,1,23,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,24,Id.,D,,,,2,,7,,9,,,9,,,,9,,,3,1,,,16,4,,,15,1,,,12,,,,4,,,,6,,,,,,,,,,,,56,42,,,56,42,24,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,25,Koperpletters,D,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,6,,,,6,,25,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,26,Koperslagers,A,,,,,,,,,,,,,,1,2,,,1,1,,,20,4,,,53,1,1,,23,2,,,11,,,,2,,,,5,,,,,,,,116,10,1,,117,10,26,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,27,Id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,27,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,28,Id.,D,,1,,9,,26,,49,,,30,,,4,83,,1,6,19,,,91,33,,1,106,14,,,37,5,,,11,1,,,10,,,,3,,,,,,,,268,270,,2,268,272,28,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,29,Loodpletters,D,,,,,,1,,2,,,6,,,1,3,,,3,4,,,6,2,,,9,3,,,4,,,,2,,,,1,,,,,,,,,,,,26,21,,,26,21,29,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,30,Loodpunters,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,30,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,31,Loodsmelters,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,31,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,32,Metaaldraaiers,A,,,,,,,,,,,,,,,,,,,5,,,6,5,,,9,,,,6,,,,,,,,,,,,,,,,,,,,21,10,,,21,10,32,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,33,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,33,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,34,Id.,D,,,,1,,7,,28,,,25,,,,55,,,10,11,,,74,25,,,72,5,,,30,,,,9,,,,3,,,,,,,,,,,,198,157,,,198,157,34,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,35,Metaalgieters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,4,,35,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,36,Id.,D,,,,,,,,2,,,,,,1,4,,,,4,,,7,,,,9,,,,4,,,,1,1,,,1,,,,,,,,,,,,23,11,,,23,11,36,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,37,Metaalslijpers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,37,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,38,Id.,D,,,,,,,,,,,3,,,,2,,,1,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,4,6,,,4,6,38,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,39,Metaalvergulders,A,,,,,,,,,,,,,,,1,,,,1,,,4,2,,,18,4,,,4,,1,,3,1,,,4,,,,1,,,,,,,,34,9,1,,35,9,39,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,40,Id.,D,,,,1,,2,,7,,,17,,,1,27,,,6,1,,,20,17,,,36,1,,,11,1,,,4,,,,1,,,,,,,,,,,,79,74,,,79,74,40,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,41,Metaalvernikkelaars,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,41,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,42,Metaalwerkers,D,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,42,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,43,Tingieters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,4,,,,4,,43,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,44,Id.,D,,,,,,,,,,,2,,,,2,,,,1,,,3,1,,,4,,,,,,,,,,,,3,,,,,,,,,,,,10,6,,,10,6,44,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,45,Vertinners,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,45,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,46,Id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,46,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,47,Zandvormers,D,,,,,,1,,5,,,3,,,1,5,,,2,3,,,18,5,,,17,,,,6,1,,,3,,,,2,,,,,,,,,,,,49,23,,,49,23,47,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,c,,Ijzer en staal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,48,Fabricage van brandkasten,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,48,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,49,id.,D,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,49,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,50,Fabricage van gasbuizen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,50,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,51,id.,D,,,,,,,,,,,,,,,,,,,,,,2,1,,,4,,,,,,,,,,,,1,,,,1,,,,,,,,8,1,,,8,1,51,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,52,Fabricage van kachels,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,3,,52,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,53,Fabricage van naalden,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,53,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,54,id.,D,,,,,,1,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,54,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,55,Fabricage van nagels en spijkers,D,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,55,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,56,Fabricage van ijzer en ijzerwaren,A,,,,,,,,,,,,,,,1,,,,,,,,1,,,3,,,,,,,,1,,,,1,,,,1,,,,,,,,6,2,,,6,2,56,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,57,Id.,B,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,6,,,,6,,57,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,58,Id.,C,,,,,,,,,,,,,,,1,,,1,,,,5,3,,,4,,,,,1,,,1,,,,2,,,,1,,,,,,,,14,5,,,14,5,58,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,59,Id.,D,,,,2,,5,,19,,,23,,,3,78,,,15,22,,,94,18,,,94,11,,,36,1,,,12,,,,7,,,,3,,,,,,,,264,179,,,264,179,59,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,60,Hoefsmeden,A,,,,,,,,,,,,,,,1,,,,,,,3,1,,,12,2,1,,2,1,,,1,,,,,,,,2,,,,,,,,20,5,1,,21,5,60,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,61,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,61,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,,,62,Id.,D,,,,2,,3,,13,,,15,,,3,35,,,3,7,,,27,7,,,27,2,,,2,,,,4,1,,,1,,,,,,,,,,,,67,85,,,67,85,62,BT ,1889_02_T1,22,23,HET RIJK,29_0380
,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,1,Messenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,1,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,2,Id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,3,Smeden en slotenmakers,A,,,,,,,,,,,,,,3,7,,,2,6,,,137,24,,1,273,9,3,,123,6,4,,40,,3,,22,1,2,,19,,,,,,,,619,53,12,1,631,54,3,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,4,Id.,B,,,,,,,,,,,,,,,2,,,,,,,,1,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,4,3,,,4,3,4,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,5,Id.,C,,,,,,,,,,,,,,,1,,,,,,,2,1,,,3,,,,,,,,3,,,,2,,,,,,,,,,,,10,2,,,10,2,5,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,6,Id.,D,,11,,43,,162,,380,,,444,,,47,464,,,81,171,,,801,300,,,1132,89,,,391,36,,,111,4,,,72,,,,23,,,,,,,,2658,2104,,,2658,2104,6,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,7,Vijlenmakers,A,,,,,,,,,,,,,,,,,,,1,,,2,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,6,1,,,6,1,7,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,8,Id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,8,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,9,Id.,D,,,,2,,3,,2,,,3,,,,9,,,,2,,,9,,,,8,1,,,1,,,,,,,,1,,,,,,,,,,,,19,22,,,19,22,9,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,10,IJzergieters,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,10,BT ,1889_02_T1,24,25,HET RIJK,29_0381
,,,11,Id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,3,,11,BT ,1889_02_T1,24,25,HET RIJK,29_0381
