"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XVI,,,4,,16,,30,,119,,,131,,2,3,274,,1,10,65,3,3,196,88,6,8,237,24,7,4,86,1,5,,27,3,2,,17,,,,11,,4,,,,,,587,755,27,18,614,773,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XVII,,,Landbouwbedrijven.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Land- of akkerbouw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,Landbouwers,A,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,4,,1,,,,,,2,1,,,2,,,,,,,,16,3,1,,17,3,8,,,,,,,
,,,9,id.,D,,,,,,,,,,,2,,,,12,,,1,1,1,,8,3,,,19,4,,,6,1,,,,,,,2,,,,,,,,,,,,36,23,1,,37,23,9,,,,,,,
,,B.,,"Veeteelt (incl. alle dieren-, paardenfokkerij, vogelteelt enz).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,Hondenscheerders,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,10,,,,,,,
,,,11,Veehouders (melkboeren),A,,,,,,,,,,,,,,1,,,,1,,,,27,1,,,32,1,3,,14,,3,,6,,3,,4,,1,,,,1,,,,,,85,2,11,,96,2,11,,,,,,,
,,,12,id.,D,,,,,,,,5,,,3,,,,17,,7,1,1,,,6,7,,1,9,3,,,2,,,,1,,,,,,,,,,,,,,,,19,36,,8,19,44,12,,,,,,,
,,C.,,"Tuinbouw, warmoezerij, ooft- en bloemkweekerij (incl. bollencultuur).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,Bloemisten,A,,,,,,,,,,,,,,,,,,,1,,,2,,,,4,1,1,,1,,,,,,,,1,1,,,,,,,,,,,8,3,1,,9,3,13,,,,,,,
,,,14,id.,D,,,,,,2,,2,,,9,,,,7,,,,1,,,1,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,27,,,3,27,14,,,,,,,
,,,15,Tuinlieden (warmoeziers),A,,,,,,,,,,,,,,1,3,,,3,2,,,17,1,,,37,1,4,,20,1,4,,5,,,,5,,1,,1,,2,,,,,,89,8,11,,100,8,15,,,,,,,
,,,16,id.,D,,,,1,,3,,6,1,,18,,1,,29,,,,4,,,11,13,,,13,4,1,,2,,1,,2,,,,,,,,1,,,,,,,,29,78,2,2,31,80,16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVII,A,,,,,,,,,,,,,,2,3,,,4,3,,,46,2,,,81,5,8,,39,1,8,,11,,3,,12,2,2,,3,,3,,,,,,198,16,24,,222,16,,,,,,,,
,,,,Totaal voor XVII,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVII,D,,,,1,,5,,13,1,,32,,1,,65,,7,2,7,1,,26,29,,1,43,11,1,,10,1,1,,3,,,,2,,,,2,,,,,,,,88,164,3,10,91,174,,,,,,,,
,,,,Totaal voor groep XVII,,,0,0,1,0,5,0,13,1,0,32,0,1,2,68,0,7,6,10,1,0,72,31,0,1,124,16,9,0,49,2,9,0,14,0,3,0,14,2,2,0,5,0,3,0,0,0,0,0,286,180,27,10,313,190,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XVIII,,,Visscherij (incl. vischkweekerij) en jacht.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Zeevisscherij.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,Zeevisschers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,,,,,,,
,,,18,id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,18,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVIII,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
,,,,Totaal voor XVIII,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVIII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XVIII,D,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
,,,,Totaal voor groep XVIII,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,2,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XIX,,,Warenhandel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0014,,,,,,
,,A.,,Handel in grondstoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Arbeiders,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,
,,,2,id.,D,,,,,,,,1,,,3,,,,6,,,1,3,,,20,6,,,24,2,,,9,,,,3,,,,1,,,,,,,,,,,,58,21,,,58,21,2,,,,,,,
,,,3,Kooplieden,A,,,,,,,,,,,,,,,,,,1,3,,,5,2,,,8,,,,7,1,,,4,,,,,,,,1,,1,,,,,,26,6,1,,27,6,3,,,,,,,
,,,4,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,,,,,,,
,,,5,Winkeliers,A,,,,,,,,,,,,,,,,,,,,,,4,1,,,9,1,3,,5,,,,1,,,,2,,,,1,1,,,,,,,22,3,3,,25,3,5,,,,,,,
,,B.,,Handel in voorwerpen van kleeding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,Costumiers (verhuurders van costumen),A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,,,,,,,
,,,7,Depothouders,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,7,,,,,,,
,,,8,Kooplieden,A,,,,,,,,,,,,,,,5,,,,1,,,10,2,1,,25,5,3,1,6,,5,1,,,1,,6,,,,1,,,,,,,,48,13,10,2,58,15,8,,,,,,,
,,,9,id.,B,,,,,,,,1,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,9,,,,,,,
,,,10,Winkeliers,A,,,,,,,,,,,,,,,3,,,2,1,1,1,27,18,8,9,69,3,21,19,18,2,13,4,9,,4,1,2,,4,1,1,,3,,,,,,128,27,54,35,182,62,10,,,,,,,
,,,11,id.,B,,,,,,,,,,,,,,,,,1,,,,,1,4,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,4,1,1,4,5,11,,,,,,,
,,,12,Winkelbedienden,C,,,,1,1,9,,5,,,16,,10,,56,,39,2,7,,14,4,23,1,34,4,3,,10,,1,,,,,,,,,,,,,,,,,,,10,121,1,108,11,229,12,,,,,,,
,,C.,,Handel in voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,Arbeiders,D,,,,,,1,,3,,,5,,,1,25,,2,2,8,,,34,15,,,63,3,,,20,1,,,9,,,,3,,,,,,,,,,,,132,61,,2,132,63,13,,,,,,,
,,,14,Broodventers,D,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,1,,1,1,1,,1,,,,,,,,,,,,,,5,,2,2,7,2,14,,,,,,,
,,,15,Depothouders,B,,,,,,,,,,,,,,,1,,,1,,,,9,1,1,,7,,5,1,8,,4,,3,,,,,,1,,,,1,,,,,,28,2,12,1,40,3,15,,,,,,,
,,,16,Kooplieden,A,,,,,,,,,,,,,,1,4,,1,,1,1,1,42,20,6,,68,8,16,1,43,3,12,1,7,1,10,1,9,,5,1,5,,4,,,,,,175,37,54,6,229,43,16,,,,,,,
,,,17,id.,B,,,,,,,,,,,,,,,,1,,,1,,,1,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,,3,5,17,,,,,,,
,,,18,Winkeliers,A,,,,,,,,,,,,,,2,3,3,1,1,1,,1,58,10,12,2,107,4,55,6,49,2,37,3,19,,9,1,10,,10,,9,1,12,1,,,,,255,21,138,15,393,36,18,,,,,,,
,,,19,id.,B,,,,,,,,,,,,,,,2,,1,,,,,,1,,,2,1,1,,2,,,,,,,,,,,,,,,,,,,,4,4,1,1,5,5,19,,,,,,,
,,,20,Winkelbedienden,C,,,,,,5,,16,,,27,,2,,54,,,,11,,2,5,20,,8,2,2,,1,2,,,,,,,,1,,,,,,,,,,,,10,135,,13,10,148,20,,,,,,,
,,D.,,Handel in voorwerpen van woning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,Kooplieden,A,,,,,,,,,,,,,,,,,,,,,,5,4,,,15,,,,1,,,1,,,,,2,,,,1,,1,,,,,,24,4,1,1,25,5,21,,,,,,,
,,,22,Winkeliers,A,,,,,,,,,,,,,,,,,,,,,,1,,1,,6,1,2,2,3,,,,,,1,,,,2,,,,1,,,,,,10,1,7,2,17,3,22,,,,,,,
,,,23,id.,B,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,23,,,,,,,
,,,24,Winkelbedienden,C,,,,,,1,,,,,3,,2,,10,,1,,1,,,2,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,19,,4,2,23,24,,,,,,,
,,E.,,Handel in boek- en kunstwerken (incl. dagbladen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25,Arbeiders,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,25,,,,,,,
,,,26,Boekenverhuurders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,4,,,1,4,1,26,,,,,,,
,,,27,Kooplieden,A,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,27,,,,,,,
,,,28,Uitgevers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,4,,,,4,,28,,,,,,,
,,,29,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,,,,,,,
,,,30,Winkeliers,A,,,,,,,,,,,,,,,,,,,,1,,4,3,,,4,,1,,5,,1,,1,,2,,2,,,,1,,,,,,,,17,3,5,,22,3,30,,,,,,,
,,,31,Winkelbedienden,C,,,,1,,,,1,,,4,,,,8,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,2,15,31,,,,,,,
,,F.,,Handel in luxe artikelen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,32,Kooplieden,A,,,,,,,,,,,1,,,1,5,,,,4,,1,7,10,,,26,4,3,,10,3,4,,3,,1,1,1,,,,3,,1,,,,,,51,27,9,2,60,29,32,,,,,,,
,,,33,Winkeliers,A,,,,,,,,,,,,,,,,,,,,,,2,2,,1,3,,2,2,2,,2,,,,1,,,,,,,,,1,,,,,7,2,5,4,12,6,33,,,,,,,
,,,34,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,34,,,,,,,
,,,35,Winkelbedienden,C,,,,,,,,3,1,,5,,1,,10,,3,1,5,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,25,,7,2,32,35,,,,,,,
,,G.,,Handel in levend vee en gevogelte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,36,Arbeiders,D,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,36,,,,,,,
,,,37,Kooplieden,A,,,,,,,,,,,,,,,,,,,3,,,5,4,,,21,1,,,6,1,,,,,,,1,,,,1,,,,,,,,34,9,,,34,9,37,,,,,,,
,,,38,id.,B,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,38,,,,,,,
,,H.,,Handel in andere waren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39,Arbeiders,D,,,,,,,,,,,1,,,,1,,1,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,4,,1,2,5,39,,,,,,,
,,,40,Depothouders,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,40,,,,,,,
,,,41,Kooplieden,A,,,,,,,,,,,4,,,,7,,,,2,,,10,6,,,42,5,1,,11,2,1,,,1,,,5,,1,,1,,,,,,,,69,27,3,,72,27,41,,,,,,,
,,,42,id.,B,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,42,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0015,,,,,,
,,,1,Kramers en rondventers,A,,,,,,,,,,,,,,,1,,,,1,,,1,2,,,3,1,,,3,,1,,,,,,2,,,,1,,,,,,,,10,5,1,,11,5,1,,,,,,,
,,,2,id.,D,,,,,,1,,1,1,1,4,,1,1,3,,,1,2,1,1,11,2,2,,6,2,4,1,8,1,,,8,1,3,,2,,1,,3,,,,,,,,41,17,11,4,52,21,2,,,,,,,
,,,3,Magazijn- en pakhuisknechts,D,,,,1,,,,5,,,14,,,4,45,,,5,11,,,54,17,,,79,3,,,24,1,,,8,,,,4,,,,,,,,,,,,178,97,,,178,97,3,,,,,,,
,,,4,Tagrijnen (oudroestverkoopers),A,,,,,,,,,,,,,,,,,,,,,,2,1,,,5,1,,,3,,,,1,,,,,,,,1,,,,,,,,12,2,,,12,2,4,,,,,,,
,,,5,id.,D,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,5,,,,,,,
,,,6,Uitdragers,A,,,,,,,,,,,,,,,,,,,,,,3,,,,4,1,1,,7,,,,1,,,,2,,,,,,,,,,,,17,1,1,,18,1,6,,,,,,,
,,,7,Verhuurders van verschillende goederen,A,,,,,,,,,,,,,,,1,,,,,,,4,3,,,13,2,,,5,,,,2,,,,1,,,,,,,,,,,,25,6,,,25,6,7,,,,,,,
,,,8,Water- en vuurverkoopers,A,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,6,,,,3,1,,,4,,,,1,,,,,,,,17,1,17,1,8,,,,,,,
,,,9,Winkeliers,A,,,,,,,,,,,,,,,,,,,1,,,9,1,,,13,1,3,1,6,,,,3,,,,2,,,,,,,,,,,,33,3,3,1,36,4,9,,,,,,,
,,,10,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,10,,,,,,,
,,,11,Winkelbedienden,C,,,,,,1,,7,,,9,,,,15,,2,,6,,,2,9,,,3,3,,,3,,,,,,,,,,,,,,,,,,,,8,50,,2,8,52,11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XIX,A,,,,,,,,,,,5,,,4,29,3,2,4,18,3,4,202,89,29,12,446,38,114,33,192,14,82,10,52,2,32,5,47,,26,2,27,2,24,2,,,,,974,197,313,70,1287,267,,,,,,,,
,,,,Totaal voor XIX,B,,,,,,,,1,,,1,,,,4,1,3,1,4,,,12,15,2,,14,1,7,1,12,,4,,3,,,,,,1,,,,1,,,,,,42,26,16,4,58,30,,,,,,,,
,,,,Totaal voor XIX,C,,,,2,1,16,,32,1,,64,,15,,153,,45,3,30,,17,15,58,1,39,10,9,,11,6,1,,,,,,,1,,,,,,,,,,,,35,365,1,129,36,494,,,,,,,,
,,,,Totaal voor XIX,D,,,,1,,3,,12,1,1,28,,2,6,81,,3,11,24,1,1,120,41,2,,176,11,4,1,62,3,1,1,29,1,4,,10,,1,,3,,,,,,,,418,205,13,9,431,214,,,,,,,,
,,,,Totaal voor groep XIX,,,0,0,3,1,19,0,45,2,1,98,0,17,10,267,4,53,19,76,4,22,349,203,34,51,646,59,125,46,272,18,87,11,84,3,36,5,58,0,28,2,30,2,25,2,0,0,0,0,1469,793,343,212,1812,1005,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XX,,,Verkeerswezen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,,Spoor en tram.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,Arbeiders,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,12,,,,,,,
,,,13,id.,D,,,,,,,,,,,1,,,,7,,,2,1,,,4,4,,,7,,,,1,,,,1,,,,,,,,,,,,,,,,15,13,,,15,13,13,,,,,,,
,,,14,Beambten,C,,,,,,,,,,,2,,,1,3,,,,6,,,9,2,,3,12,1,,,4,,,,3,,,,1,,,,,,,,,,,,30,14,,3,30,17,14,,,,,,,
,,,15,id.,D,,,,,,,,,,,1,,,1,6,,,2,,,1,16,6,,,26,,,,1,,,,3,,,,1,,,,,,,,,,,,50,13,,1,50,14,15,,,,,,,
,,,16,Conducteurs,C,,,,,,,,,,,,,,,,,,2,,,,13,3,,,13,,,,1,,,,,,,,,,,,,,,,,,,,29,3,,,29,3,16,,,,,,,
,,,17,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,,,,,,,
,,,18,Koetsiers,D,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,18,,,,,,,
,,B.,,Andere vervoermiddelen te land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,Huurkoetsiers,A,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,3,,,,1,,,,,,,,,,1,,,,,,11,,1,,12,,19,,,,,,,
,,,20,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,20,,,,,,,
,,,21,id.,D,,,,,,,,2,,,2,,,,6,,,1,3,,,4,1,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,10,14,,,10,14,21,,,,,,,
,,,22,Voerlieden,A,,,,,,,,,,,,,,,,,,,1,,,3,,,,19,,,,5,,,,1,,,,,,,,1,,,,,,,,29,1,,,29,1,22,,,,,,,
,,,23,id.,D,,,,1,,,,3,,,4,,,2,32,,,7,11,,,45,12,,,70,3,,,16,2,,,3,,,,2,,,,1,,,,,,,,146,68,,,146,68,23,,,,,,,
,,C.,,Zeevaart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,Cargadoors,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,4,,,,4,,24,,,,,,,
,,,25,Directeuren van stoombootonderneming,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,25,,,,,,,
,,,26,Gezagvoerders,A,,,,,,,,,,,,,,,,,,,,,,3,2,,,6,,,,5,,,,1,,,,,,,,1,,,,,,,,16,2,,,16,2,26,,,,,,,
,,,27,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,27,,,,,,,
,,,28,Machinisten (stoomvaart),C,,,,,,,,,,,,,,1,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,8,1,28,,,,,,,
,,,29,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,29,,,,,,,
,,,30,Matrozen,D,,,,,,,,,,,9,,,1,32,,,1,11,,,2,16,,,4,2,,,3,1,,,,,,,,,,,,,,,,,,,11,71,,,11,71,30,,,,,,,
,,,31,Reeders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,31,,,,,,,
,,,32,Stuurlieden,C,,,,,,,,,,,,,,1,4,,,,2,,,4,11,,,12,3,,,6,1,,,,,,,,,,,,,,,,,,,23,21,,,23,21,32,,,,,,,
,,D.,,Binnenscheepvaart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33,Commissarissen van beurtveeren,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,33,,,,,,,
,,,34,Gezagvoerders,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,3,,,,1,,,,,,,,,,,,,,,,7,1,,,7,1,34,,,,,,,
,,,35,id.,B,,,,,,,,,,,,,,,2,,,,,,,5,,,,6,3,,,6,,,,1,,,,,,,,,,,,,,,,18,5,,,18,5,35,,,,,,,
,,,36,Matrozen,D,,,,,,,,,,,,,,,7,,,,1,,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,5,9,36,,,,,,,
,,,37,Schippers,A,,,,,,,,,,,,,,2,1,,,8,3,,,105,12,1,,7,9,4,1,96,3,4,1,19,2,2,,18,,2,,7,,4,,,,,,262,30,17,2,279,32,37,,,,,,,
,,,38,id.,D,,4,,3,,3,,12,,,23,,,4,98,,1,1,23,,,12,59,,,18,15,,,7,3,,,3,,,,4,,,,,,,,,,,,49,243,,1,49,244,38,,,,,,,
,,,39,Schuitenjagers,A,,,,,,,,,,,,,,1,8,,,,2,,,4,1,,,7,,,,6,,1,,2,,,,,,,,,,,,,,,,20,11,1,,21,11,39,,,,,,,
,,,40,id.,D,,,,,,,,,,,1,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,40,,,,,,,
,,,41,Stuurlieden,C,,,,,,,,,,,,,,,,,,1,,,,3,1,,,11,,,,5,,,,1,,,,,,,,,,,,,,,,21,1,,,21,1,41,,,,,,,
,,E.,,"Posterij, telegraphie, telephonie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42,Brievenbestellers,D,,,,,,,,,,,,,,,3,,,,1,,,14,4,,,10,,,,1,,,,1,,,,,,,,,,,,,,,,26,8,,,26,8,42,,,,,,,
,,,43,Postambtenaren en beambten,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,43,,,,,,,
,,,44,id.,C,,,,,,,,,,,,,,,,,,,,,,2,7,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,3,10,,,3,10,44,,,,,,,
,,,45,id.,D,,,,,,,,,,,,,,,,,,,,,,6,,,,8,,,,1,,,,,,,,,,,,1,,,,,,,,16,,,,16,,45,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0016,,,,,,
,,,1,Telegraphieambtenaren en beambten,C,,,,,,,,,,,,,,,,,,,2,,,3,6,,1,4,2,1,,1,,,,,,,,,,,,,,,,,,,,8,10,1,1,9,11,1,,,,,,,
