"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1877",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,37,Id.,D,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,37,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,38,Ketelmakers,D,,,,2,,4,,13,,,19,,,3,38,,,7,11,,,84,17,,,60,6,,,13,,,,4,,,,3,1,,,2,,,,,,,,176,111,,,176,111,38,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,39,Kopergieters en -smelters,A,,,,,,,,,,,1,,,,6,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,5,7,,,5,7,39,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,40,Id.,D,,,,1,,2,,2,,,2,,,1,11,,,,2,,,9,3,,,11,1,,,7,,,,1,,,,1,,,,,,,,,,,,30,24,,,30,24,40,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,41,Koperslagers,A,,,,,,,,,,,1,,,4,11,,,3,2,,,94,20,,,54,10,2,,88,7,5,,37,4,1,1,16,2,2,,19,2,1,,,,,,315,59,11,1,326,60,41,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,42,Id.,C,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,6,42,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,43,Id.,D,,1,,13,,37,,118,,,104,,,,225,,,14,61,,,87,81,,,61,18,,,23,3,,,7,1,,,5,1,,,2,1,,,,,,,199,664,,,199,664,43,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,44,Loodpletters,D,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,44,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,45,Metaaldraaiers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,45,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,46,Id.,D,,,,,,6,,12,,,23,,,3,47,,,3,12,,,53,15,,,23,4,,,4,,,,1,,,,,,,,1,,,,,,,,88,119,,,88,119,46,BT,1889_02_T3,142,143,HET RIJK,29_0440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,142,143,HET RIJK,29_0440
X,,1,Metaalgieters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,1,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,2,id.,D,,,,,,3,,15,,,10,,,1,37,,,4,9,,,31,13,,,34,4,,,7,,,,2,,,,,,,,,,,,,,,,79,91,,,79,91,2,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,3,Metaalvergulders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,2,,,,,,,,2,,,,,,,,,,,,8,,,,8,,3,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,4,id.,D,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,4,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,5,Tingieters,A,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,6,id.,D,,,,1,,2,,8,,,9,,,1,17,,,1,4,,,22,3,,,21,2,,,6,,,,1,,,,2,1,,,,,,,,,,,54,47,,,54,47,6,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,7,Zandvormers,D,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,7,BT,1889_02_T3,144,145,HET RIJK,29_0441
,C.,,IJzer en staal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,8,Fabricage van brandkasten,A,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,8,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,9,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,6,1,9,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,10,Fabricage van kachels,A,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,9,,,,9,,10,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,11,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,12,id.,D,,,,1,,1,,2,,,1,,,,3,,,,1,,,1,2,,,4,,,,1,,,,,,,,,,,,,,,,,,,,6,11,,,6,11,12,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,13,Fabricage van naalden,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,14,id.,D,,1,1,2,1,3,3,7,15,,3,,13,,2,,18,,6,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,4,24,,52,4,76,14,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,15,Fabricage van nagels en spijkers,A,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,3,,3,,6,,15,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,16,id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,16,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,17,id.,D,,,,1,1,1,1,11,1,,8,,1,,17,,2,1,3,,,13,7,,,30,1,1,,6,2,,,1,,,,1,,,,,,,,,,,,52,51,1,6,53,57,17,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,18,Fabricage van schaatsen,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,18,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,19,Fabricage van spelden,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,20,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,20,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,21,Fabricage van staalwaren,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,21,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,22,Fabricage van ijzer en ijzerwaren,A,,,,,,,,,,,,,,,,,,,,,,,5,4,,2,,1,,1,,,,1,,,,1,,,,1,,,,,,,,6,5,5,,11,5,22,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,23,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,1,1,23,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,24,id.,C,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,2,,,,2,,,,1,,,,1,,,,,,,,7,2,,,7,2,24,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,25,id.,D,,,,4,4,6,1,22,1,,24,,2,6,75,,,12,17,,,72,29,,,42,7,,,22,,,,2,,,,1,,,,1,,,,,,,,158,184,,8,158,192,25,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,26,Harkenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,26,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,27,Hoefsmeden,A,,,,,,,,,,,,,,,2,,,1,1,,,21,5,,,47,4,1,,21,4,1,,9,2,,,6,2,1,,4,,1,,,,,,109,20,4,,113,20,27,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,28,id.,B,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,28,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,29,id.,C,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,29,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,30,id.,D,,,,1,,2,,5,,,16,,,1,38,,,1,13,,,21,17,,,16,3,,,6,3,,,3,1,,,1,,,,2,,,,,,,,51,99,,,51,99,30,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,31,Messenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,2,,31,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,32,id.,D,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,32,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,33,Smeden en slotenmakers,A,,,,,,,,,,,3,,,3,14,,,9,11,,,323,53,3,,590,47,11,,329,19,13,,127,4,10,,77,8,10,,60,,14,,,,,,1518,159,61,,1579,159,33,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,34,id.,B,,,,,,,,,,,,,,,2,,,,1,,,6,8,,,5,2,,,,1,,,1,,,,,,,,,,,,,,,,12,14,,,12,14,34,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,35,id.,C,,,,,,,,,,,,,,,2,,,1,1,,,5,7,,,6,2,,,6,,,,,,,,,,,,1,,,,,,,,19,12,,,19,12,35,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,36,id.,D,,6,,46,,132,,424,,,497,,,23,914,,,54,269,,,498,495,,,480,149,,,150,38,,,57,6,,,27,5,,,9,2,,,,,,,1298,2983,,,1298,2983,36,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,37,Vijlenmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,37,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,38,id.,D,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,38,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,39,Ijzergieters,A,,,,,,,,,,,,,,,,,,,,2,,4,,,,3,,,,3,,,,1,,,,1,,,,1,,,,,,,,13,,2,,15,,39,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,40,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,2,1,40,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,41,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,41,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,42,id.,D,,1,,5,,7,,15,,,19,,,1,27,,,6,10,,,53,10,,,49,3,,,10,2,1,,2,,,,2,1,,,,,,,,,,,123,100,1,,124,100,42,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,Totaal voor X,A,,,,,,,,1,,,6,,,8,38,,,16,23,,,487,94,3,,920,74,16,,506,34,21,,199,11,12,1,132,14,13,,111,3,17,,,,,,2379,298,82,1,2461,299,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,Totaal voor X,B,,,,,,,,,,,,,,,2,,,,2,,,8,10,,,7,4,,,,2,,,1,1,,,1,,,,,,,,,,,,17,21,,,17,21,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,Totaal voor X,C,,,,,,,,,,,,,,,5,,,1,1,,,9,16,,,10,4,,,10,1,,,2,,,,,,,,1,1,,,,,,,33,28,,,33,28,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,Totaal voor X,D,,9,1,88,6,226,5,707,17,,792,,16,50,1556,,20,119,433,,6,1034,760,,2,921,217,1,1,275,52,2,1,89,11,,,47,10,,,18,3,,,,,,,2553,4864,3,75,2556,4939,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,Totaal voor groep X,,,9,1,88,6,226,5,708,17,0,798,0,16,58,1601,0,20,136,459,0,6,1538,880,3,2,1858,299,17,1,791,89,23,1,291,23,12,1,180,24,13,0,130,7,17,0,0,0,0,0,4982,5211,85,76,5067,5287,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,144,145,HET RIJK,29_0441
XI,,,"Papier, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,A.,,Papier- en kartonvervaardiging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,43,Fabricage van papier,A,,,,,,,,,,,,,,,,,,1,,,,4,4,,,6,3,1,,4,,1,,2,,,,3,,,,,,,,,,,,20,7,2,,22,7,43,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,44,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,5,,44,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,45,id.,C,,,,,,,,,,,,,,,2,,,,,,,1,,,,4,1,,,2,,,,,,,,,,,,,,,,,,,,7,3,,,7,3,45,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,46,id.,D,,,,8,4,16,12,48,24,,53,,23,16,80,2,37,14,29,4,10,133,55,8,,165,21,24,6,79,1,19,1,26,,1,,12,1,4,,6,,1,,,,,,451,312,63,117,514,429,46,BT,1889_02_T3,144,145,HET RIJK,29_0441
,B.,,Papier- en kartonbewerking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,47,Doozenplakkers,A,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,4,,,1,4,1,47,BT,1889_02_T3,144,145,HET RIJK,29_0441
,,48,id.,D,,,,1,1,,3,1,5,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,13,48,BT,1889_02_T3,144,145,HET RIJK,29_0441
XI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,1,Fabricage van albums,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,2,Fabricage van behangselpapier,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,2,1,,,2,1,2,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,3,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,3,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,4,id.,D,,,,,,,,1,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,3,2,4,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,5,Fabricage van kartonnages,A,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,5,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,6,id.,C,,,,,,,,,,,,,,,1,,,,1,,,4,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,8,2,,,8,2,6,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,7,id.,D,,,1,2,,1,,10,1,,6,,1,5,19,,,12,5,,,56,12,1,,50,1,3,,13,,3,,2,,,,1,,,,1,,,,,,,,140,56,7,3,147,59,7,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,8,Fabricage van papierwaren,A,,,,,,,,,,,,,,,1,,,,,,,3,2,,,14,3,,,4,1,,,1,,,,1,,,,,,,,,,,,23,7,,,23,7,8,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,9,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,1,2,9,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,10,id.,C,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,5,,10,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,11,id.,D,,,,,1,1,3,2,3,,5,,4,1,10,,8,1,1,,1,9,5,1,,11,2,3,,3,,1,,2,,1,,,,,,,,,,,,,,27,26,6,20,33,46,11,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,12,Zakkenplakkers,A,,,,,,,,,,,,,,,2,,,,,,,1,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,,6,3,,,6,3,12,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,13,id.,D,,2,,3,,16,,17,1,,12,,,1,9,,1,,2,,1,,10,,,5,1,2,,2,,,,,,,,,,,,,,,,,,,,8,72,2,3,10,75,13,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XI,A,,,,,,,,,,,,,,,3,,1,1,,,,12,7,,,26,7,1,,10,1,1,,6,,,,4,,,,,,,,,,,,59,18,2,1,61,19,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XI,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,,,,,1,,,,,,,1,,,,,,,,,,,,6,2,,,6,2,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XI,C,,,,,,,,,,,,,,1,3,,,,1,,,5,,,,9,1,,,5,,,,1,,,,,,,,,,,,,,,,21,5,,,21,5,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XI,D,,2,1,16,6,34,18,79,34,,76,,28,23,118,2,47,27,37,4,13,199,83,10,13,233,25,32,6,97,1,23,1,30,,2,,13,1,4,,7,,1,,,,,,629,472,78,167,707,639,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor groep XI,,,2,1,16,6,34,18,79,34,,76,,28,24,124,2,48,28,38,4,13,217,91,10,13,272,33,33,6,112,3,24,1,37,,2,,18,1,4,,7,,1,,,,,,715,497,80,168,795,665,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
XII,,,"Scheepsbouw, vervaardiging van rijtuigen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,A.,,Scheepsbouw (incl. marine inrichtingen.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,14,Blok- en mastenmakers,A,,,,,,,,,,,,,,,,,,,,,,3,1,,,6,,1,,5,,,,5,,,,1,,,,3,,,,,,,,23,1,1,,24,1,14,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,15,id.,D,,,,1,,4,,3,,,4,,,,9,,,,3,,,7,7,,,13,,,,5,1,,,2,,,,,,,,3,1,,,,,,,30,33,,,30,33,15,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,16,Droogdokexploitatie,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,16,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,17,Scheepmakers,A,,,,,,,,,,,,,,,1,,,1,,,,38,14,,,120,7,2,,56,2,4,,20,2,,,18,1,,,19,,2,,,,,,272,27,8,,280,27,17,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,18,id.,B,,,,,,,,,,,,,,,1,,,,,,,4,1,,,6,,,,,,,,,,,,1,,,,,,,,,,,,11,2,,,11,2,18,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,19,id.,C,,,,,,,,1,,,,,,,1,,,,2,,,6,2,,,9,2,,,5,1,,,,,,,1,,,,3,,,,,,,,24,9,,,24,9,19,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,20,id.,D,,1,,29,,53,,136,,,135,,,24,295,,,48,74,,,439,135,,,457,32,,,238,8,,,77,3,,,54,1,,,17,1,,,,,,,1354,903,,,1354,903,20,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,21,Scheepsschilders,D,,,,1,,,,,,,4,,,,,,,,,,,2,,,,5,2,,,2,,,,1,,,,,,,,,,,,,,,,10,7,,,10,7,21,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,22,Scheepssloopers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,22,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,23,id.,D,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,8,,23,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,24,Scheepstakelaars,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,3,,,,3,,24,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,25,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,25,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,26,id.,D,,,,,,,,,,,,,,,1,,,,,,,,3,,,6,,,,2,,,,,,,,,,,,,,,,,,,,8,4,,,8,4,26,BT,1889_02_T3,146,147,HET RIJK,29_0442
,B.,,Rijtuigen enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,27,Fabricage van rijtuigen,A,,,,,,,,,,,,,,,,,,,,,,3,,,,15,1,,,5,,1,,2,,1,,,,,,2,,,,,,,,27,1,2,,29,1,27,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,28,id.,D,,,,,,1,,,,,2,,,,5,,,,3,,,2,6,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,5,17,,,5,17,28,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,29,Fabricage van rijwielen,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,30,id.,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,30,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,31,Fabricage van tram- en spoorrijtuigen,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,31,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,32,Fabricage van wagens (wagenmakers),A,,,,,,,,,,,,,,1,5,,,4,6,,,114,18,,,181,22,1,,99,6,3,,45,2,2,1,33,5,,,27,1,1,,,,,,504,65,7,1,511,66,32,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,33,id.,B,,,,,,,,,,,,,,,1,,,,1,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,2,7,33,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,34,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,2,,,,2,,,,,,,,,,,,,,,,11,1,,,11,1,34,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,35,id.,D,,,,5,,22,,51,,,60,,,2,158,,,3,42,,,53,102,,,35,23,,,14,3,,,5,4,,,2,,,,1,,,,,,,,115,470,,,115,470,35,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,36,Fabricage van wielen,A,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,36,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,37,Rijtuigschilders,D,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,37,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XII,A,,,,,,,,,,,,,,1,6,,,5,7,,,158,34,,,324,30,4,,167,8,8,,74,4,3,1,52,6,,,51,1,3,,,,,,832,96,18,1,850,97,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XII,B,,,,,,,,,,,,,,,2,,,,1,,,6,6,,,6,,,,,,,,,,,,1,,,,,,,,,,,,13,9,,,13,9,,BT,1889_02_T3,146,147,HET RIJK,29_0442
,,,Totaal voor XII,C,,,,,,,,1,,,,,,,2,,,,2,,,6,2,,,17,2,,,9,1,,,2,,,,1,,,,3,,,,,,,,38,10,,,38,10,,BT,1889_02_T3,146,147,HET RIJK,29_0442
