"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,13,id.,B,,,,,,,,,,,,,,,3,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,3,4,13,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,14,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,14,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,15,id.,D,,,,6,,9,,31,,,30,,,,60,,,,21,,,25,44,,,17,12,,,6,1,,,3,2,,,1,,,,,,,,,,,,52,216,,,52,216,15,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor VIII,,,,,,,,,,,,26,,,19,210,,,73,108,,1,1056,503,2,1,1703,332,12,1,954,132,16,,402,42,11,2,339,28,8,,329,26,14,,,,,,4875,1407,63,5,4938,1412,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor VIII,,,,,,,,,1,,,1,,,2,10,,,,5,,,1,19,,,4,8,,,1,2,,,,,,,,,,,,,,,,,,,8,46,,,8,46,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor VIII,,,,,,,,,2,,,,,,,10,,,1,2,,,3,19,,,8,10,,,,2,,,,,,,1,,,,,,,,,,,,13,45,,,13,45,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor VIII,,,12,3,109,7,270,5,699,27,,845,,49,24,1771,,28,44,489,1,22,600,1097,11,47,793,366,12,16,297,72,5,3,100,15,1,,78,11,2,,65,7,,,,,,,2001,5763,32,207,2033,5970,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor groep VIII,,,12,3,109,7,270,5,702,27,0,872,0,49,45,2001,0,28,118,604,1,23,1660,1638,13,48,2508,716,24,17,1252,208,21,3,502,57,12,2,418,39,10,0,394,33,14,0,0,0,0,0,6897,7261,95,212,6992,7473,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,IX,,,"Metalen ( winnen en eerste bewerking van), steenkolen, turf, zout, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,A.,,Winnen en eerste bewerking van metalen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,16,Delvers van ijzererts,D,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,16,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,17,Opzichters van ijzerertsontginning,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,B.,,Steenkolen en turf (mijnwerk en fabricage).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,18,Arbeiders zandgroeven,D,,,,,,,,,,,1,,,,1,,,,,,,2,2,,,10,,,,2,,,,,,,,,,,,2,,,,,,,,16,4,,,16,4,18,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,19,Fabricage van asphalt,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,20,id.,D,,,,,,,,,,,,,,,2,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,20,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,21,Fabricage van briquetten,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,21,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,22,id.,D,,,,,,4,,10,,,10,,,,5,2,,,1,,,14,11,,,4,,,,5,,,,,,,,,,,,,,,,,,,,23,41,2,,25,41,22,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,23,Fabricage van turfstrooisel,D,,,,,,,,,,,,,,,2,,,1,1,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,3,6,23,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,24,Kiezelgravers,D,,,,,,,,,,,,,,,3,,,,1,,,3,1,,,5,2,,,1,,,,1,,,,1,,,,1,,,,,,,,12,7,,,12,7,24,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,25,Kolenbranders,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,25,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,26,id.,D,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,26,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,27,Kolenwerkers,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,27,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,28,Mijnwerkers ,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,28,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,29,id.,D,,,,,,,,6,,,15,,,,36,,,3,12,,,31,26,,,31,6,,,6,,,,4,,,,2,,,,,,,,,,,,77,101,,,77,101,29,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,30,Turfgravers en -stekers,D,,,,,,3,,11,,,28,,,,78,,,3,24,,,61,60,,,84,11,,,24,2,1,,19,1,1,,7,,,,6,,,,,,,,204,218,2,,206,218,30,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,C. ,,Veenderij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,31,Verveners,A,,,,,,,,,,,2,,,,8,,,2,1,,,62,34,,,189,16,2,1,117,7,6,,52,,2,,42,2,,,30,3,4,,,,,,494,73,14,1,508,74,31,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,32,id.,B,,,,,,,,,,,,,,,,,,,,,,4,2,,,3,1,,,,,,,,,,,1,,,,,,,,,,,,8,3,,,8,3,32,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,33,id.,C,,,,,,,,,,,,,,,,,,,,,,2,1,,,11,,,,10,,,,3,,,,4,,,,,,,,,,,,30,1,,,30,1,33,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,34,id.,D,,3,,4,2,14,2,58,5,,103,,10,18,441,1,22,54,124,2,9,504,251,16,2,647,60,20,5,461,24,20,6,102,6,11,,85,7,3,,52,,4,,1,,,,1924,1095,77,63,2001,1158,34,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,D.,,Zoutbewerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,35,Zoutzieders,A,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,,,4,,,,1,,,,,,,,,,,,,,,,9,1,,,9,1,35,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,36,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,36,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,37,id.,C,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,37,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,38,id.,D,,,,,,,,2,,,1,,,1,5,,,1,2,,,5,5,,1,5,2,,,4,,,,7,,,,1,,,,,,,,,,,,24,17,,1,24,18,38,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor IX,A,,,,,,,,,,,2,,,,8,,,2,1,,,65,37,,,193,17,2,1,121,7,6,,54,,2,,42,2,,,30,3,4,,,,,,507,77,14,1,521,78,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor IX,B,,,,,,,,,,,,,,,,,,,,,,4,2,,,4,1,,,1,,,,,,,,1,,,,,,,,,,,,10,3,,,10,3,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor IX,C,,,,,,,,,,,,,,,1,,,,,,,5,1,,,13,,,,11,,,,3,,,,4,,,,,,,,,,,,36,2,,,36,2,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor IX,D,,3,,4,2,21,2,87,5,,158,,10,19,573,3,22,62,165,2,9,622,360,17,3,793,81,20,5,504,26,21,6,133,7,12,,96,7,3,,61,,4,,1,,,,2291,1492,82,64,2373,1556,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,Totaal voor groep IX,,,3,0,4,2,21,2,87,5,0,160,0,10,19,582,3,22,64,166,2,9,696,400,17,3,1003,99,22,6,637,33,27,6,190,7,14,0,143,9,3,0,91,3,8,0,1,0,0,0,2844,1574,96,65,2940,1639,,BT,1889_02_T4,202,203,HET RIJK,29_0470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,X,,,Metalen (bewerking van),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,A.,,Edele metalen en munten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,1,Emailleerders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,2,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,3,id.,D,,,,,,,,,,,1,,,,,,,,,,,1,,,,5,,,,6,,,,2,,,,1,,,,1,,,,,,,,16,1,,,16,1,3,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,4,Fabricage van goud- en zilverwerken,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,5,id.,D,,,,,,,,3,,,,,,,5,,2,,,,,7,1,,1,10,2,,,10,,,,3,,,,1,,,,2,,,,,,,,33,11,,3,33,14,5,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,6,Goudsmeden,A,,,,,,,,,,,1,,,,,,,,,,,27,8,,,57,7,1,,37,3,1,,12,1,,,11,2,2,,9,1,1,,,,,,153,23,5,,158,23,6,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,7,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,7,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,8,id.,C,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,8,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,9,id.,D,,,,10,,13,,33,,,28,,,3,56,,,4,12,,,36,36,,,37,14,,,12,2,,,3,1,,,5,,,,4,,,,,,,,104,205,,,104,205,9,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,10,Juweliers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,11,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,11,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,B.,,Niet-edels metalen (behalve ijzer.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,12,Blikslagers,A,,,,,,,,1,,,,,,,,,,,2,,,9,2,,,9,2,,,7,1,,,4,,,,7,1,,,5,,,,,,,,41,9,,,41,9,12,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,13,id.,D,,,,,,3,,11,,,13,,,1,14,,,2,,,,4,5,,,6,1,,,1,,,,,,,,,1,,,,,,,,,,,14,48,,,14,48,13,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,14,Fabricage van aluminiumwaren,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,1,14,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,15,Fabricage van blik,A,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,2,,,2,,,,,,,,,,,,,,,,4,3,,,4,3,15,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,16,id.,D,,,,,,,,,,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,4,16,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,17,Fabricage van capsulen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,18,id.,D,,,,6,1,2,1,3,3,,6,,2,,7,,2,1,1,,,1,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,4,27,,13,4,40,18,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,19,Fabricage van koperwerk,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,19,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,20,Fabricage van zink- en zinkwaren,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,3,1,,,3,1,20,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,21,id.,B,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,21,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,22,id.,D,,,,,,,,,,,,,,,1,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,7,1,22,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,23,Ketelmakers,D,,,,,,1,,5,,,3,,,,17,,,1,5,,,22,7,,,25,,,,8,1,,,2,,,,2,,,,1,,,,,,,,61,39,,,61,39,23,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,24,Kopergieters en -smelters,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,24,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,25,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,25,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,26,Koperslagers,A,,,,,,,,,,,1,,,1,9,,,6,13,,,72,37,,,174,15,,,85,15,1,,32,2,2,,19,2,,,14,5,,,,,,,403,99,3,,406,99,26,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,27,id.,C,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,5,27,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,28,id.,D,,,,6,,17,,48,,,50,,,,122,,,4,43,,,26,58,,,19,22,,,7,1,,,11,,,,1,1,,,1,,,,,,,,69,368,,,69,368,28,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,29,Metaaldraaiers,A,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,29,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,30,id.,D,,,,1,,2,,,,,,,,,3,,,2,1,,,5,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,8,9,,,8,9,30,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,31,Metaalgieters,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,31,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,32,id.,D,,,,,,,,3,,,6,,,,9,,,,5,,,4,11,,,11,,,,4,,,,2,1,,,1,,,,,,,,,,,,22,35,,,22,35,32,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,33,Metaalslijpers,D,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,33,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,34,Metaalvergulders,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,34,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,35,Metaalwerkers,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,35,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,36,Muilkorvenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,36,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,37,tingieters,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,37,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,38,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,38,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,39,Zandvormers,D,,,,,,,,1,,,1,,,,5,,,,,,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,4,9,39,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,C.,,Ijzer en staal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,40,Fabricage van kachels,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,4,,40,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,41,Fabricage van nagels en spijkers,A,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,41,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,42,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,3,,,,3,,42,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,43,id.,D,,,,,,7,,9,,,7,,,,14,,2,1,6,,,12,3,,,11,,,,1,,,,,,,,,,,,,,,,,,,,25,46,,2,25,48,43,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,44,Fabricage van schaatsen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,44,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,45,Fabricage van spelden,D,,,,,,,,,,,,,,,2,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,4,45,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,46,Fabricage van staalwaren,D,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,1,,,1,,,,,,,,3,3,,,3,3,46,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,47,Fabricage van ijzer en ijzerwaren,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,,1,2,47,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,48,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,1,1,,,,,,,,,,,,,,,8,2,,,8,2,48,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,49,id.,D,,1,,9,,13,,26,2,,48,,1,6,91,,2,12,19,,,97,55,,,106,13,,,25,1,,,12,,,,2,,,,1,,,,,,,,261,276,,5,261,281,49,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,50,Harkenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,50,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,51,id.,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,51,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,52,Hoefsmeden,A,,,,,,,,,,,2,,,,3,,,1,5,,,42,9,,,120,15,,,57,6,,,13,4,1,,21,4,,,25,,,,,,,,279,48,1,,280,48,52,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,53,id.,B,,,,,,,,,,,,,,,,,,,1,,,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,4,53,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,54,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,1,2,54,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,55,id.,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,1,2,55,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,56,Klinkers,D,,,,,,,,,,,,,,,,,,1,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,,56,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,57,Messenmakers,A,,,,,,,,,,,,,,,,,,,,,,,2,,,3,1,,,2,1,,,1,,,,1,,,,1,,,,,,,,8,4,,,8,4,57,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,58,id.,D,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,7,58,BT,1889_02_T4,204,205,HET RIJK,29_0471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,204,205,HET RIJK,29_0471
,X,,1,Smeden en slotenmakers,A,,,,,,,,,,,3,,,6,25,,,21,21,,,433,100,2,2,920,98,14,,522,41,17,,204,8,14,,132,11,6,,155,7,9,,,,,1,2393,314,62,3,2455,317,1,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,2,id.,B,,,,,,,,,,,3,,,,6,,,,3,,,4,10,,,5,7,,,,2,,,,,,,,,,,,,,,,,,,9,31,,,9,31,2,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,3,id.,C,,,,,,,,,,,3,,,,3,,,,3,,,1,10,,,4,3,,,3,,,,,,,,,,,,,,,,,,,,8,22,,,8,22,3,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,4,id.,D,,1,,42,,86,,377,,1,528,,,17,1044,,,38,297,,,311,644,,,260,163,,,81,34,,,41,13,,,16,6,,,7,2,,,,1,,,772,3238,,,772,3238,4,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,5,Vijlenmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,6,id.,D,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,6,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,7,Ijzergieters,D,,,,1,,,,4,,,2,,,,6,,,,1,,,15,1,,,13,2,,,6,,,,1,,,,1,,,,,,,,,,,,36,17,,,36,17,7,BT,1889_02_T4,206,207,HET RIJK,29_0472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,206,207,HET RIJK,29_0472
